id	Year	Dummy School	Education	Experience	Wage
1	1980	1	13	0.0	
2	1980	1	9	0.0	
3	1980	1	10	0.0	
4	1980	1	9	0.0	
5	1980	0	13	0.0	
6	1980	0	11	0.79	6.74
7	1980	1	11	0.0	
8	1980	0	13		9.52
9	1980	0	12		
10	1980	0	12	0.0	
11	1980	1	11	0.0	
12	1980	1	9	0.0	
13	1980	0	12		13.12
14	1980	0	12		13.07
15	1980	0	14		11.21
16	1980	1	11	0.0	
17	1980	1	13	0.0	
18	1980	1	12	0.0	
19	1980	1	9	0.0	
20	1980	1	9	0.0	
21	1980	1	13	0.0	
22	1980	1	12	0.0	
23	1980	1	11	0.0	
24	1980	1	15	0.0	
25	1980	1	11	0.0	
26	1980	1	11	0.0	
27	1980	1	14	0.0	5.55
28	1980	0	10	0.0	
29	1980	1	12	0.0	
30	1980	1	10	0.0	
31	1980	1	11	0.0	
32	1980	1	9	0.0	
33	1980	1	10	0.0	
34	1980	0	9	0.0	
35	1980	1	11	0.0	
36	1980	1	11	0.0	
37	1980	0	9		4.76
38	1980	0	11	1.92	6.34
39	1980	1	9	0.0	
40	1980	1	8	0.0	
41	1980	1	10	0.0	
42	1980	1	9	0.0	
43	1980	1	9	0.0	
44	1980	1	10	0.0	
45	1980	0	12		5.66
46	1980	0	12	1.79	6.34
47	1980	1	9	0.0	
48	1980	1	11	0.0	
49	1980	1	8	0.0	
50	1980	1	12	1.0	4.76
51	1980	1	9	0.0	
52	1980	1	10	0.0	
53	1980	1	8	0.0	
54	1980	0	12		13.21
55	1980	1	9	0.0	
56	1980	0	13	0.0	
57	1980	0	8		7.14
58	1980	1	9	0.0	
59	1980	1	9	0.0	
60	1980	0	12		12.85
61	1980	1	12	0.0	
62	1980	1	11	0.0	
63	1980	0	12		6.34
64	1980	0	12		5.95
65	1980	0	12	2.0	9.07
66	1980	1	11	0.0	
67	1980	1	12	0.0	
68	1980	1	10	0.0	3.62
69	1980	0	12		11.1
70	1980	0	12	2.0	5.08
71	1980	1	10	0.0	
72	1980	1	10	0.0	
73	1980	0	9	1.65	7.93
74	1980	1	9	0.0	
75	1980	1	10	0.0	
76	1980	1	11	0.0	
77	1980	1	13	0.85	6.34
78	1980	1	11	0.0	
79	1980	1	11	0.0	
80	1980	1	11	0.0	
81	1980	1	12	0.0	
82	1980	0	11	2.0	9.15
